count	 id	 x	 y	 theta	 theta_deg
40320	 2	 -0.498548	 -0.029096	 -1.884763	 -107.988986
40320	 3	 -0.601587	 -0.164870	 -1.740629	 -99.730720
40320	 4	 -0.614863	 -0.045995	 -1.742607	 -99.844047
40960	 0	 -0.451342	 -0.125519	 -1.928692	 -110.505924
40960	 1	 -0.496480	 -0.222930	 -1.965404	 -112.609349
40960	 2	 -0.498548	 -0.029096	 -1.884763	 -107.988986
40960	 3	 -0.601587	 -0.164870	 -1.740629	 -99.730720
40960	 4	 -0.614863	 -0.045995	 -1.742607	 -99.844047
41600	 0	 -0.347839	 -0.081994	 -1.980396	 -113.468334
41600	 1	 -0.385623	 -0.192866	 -1.792152	 -102.682755
41600	 2	 -0.406203	 0.011499	 -2.063539	 -118.232064
41600	 3	 -0.485275	 -0.132227	 -1.927905	 -110.460797
41600	 4	 -0.511535	 -0.016261	 -1.916264	 -109.793863
42240	 0	 -0.347839	 -0.081994	 -1.980396	 -113.468334
42240	 1	 -0.385623	 -0.192866	 -1.792152	 -102.682755
42240	 2	 -0.406203	 0.011499	 -2.063539	 -118.232064
42240	 3	 -0.485275	 -0.132227	 -1.927905	 -110.460797
42240	 4	 -0.511535	 -0.016261	 -1.916264	 -109.793863
42880	 0	 -0.347839	 -0.081994	 -1.980396	 -113.468334
42880	 1	 -0.385623	 -0.192866	 -1.792152	 -102.682755
42880	 2	 -0.406203	 0.011499	 -2.063539	 -118.232064
42880	 3	 -0.485275	 -0.132227	 -1.927905	 -110.460797
42880	 4	 -0.511535	 -0.016261	 -1.916264	 -109.793863
43520	 0	 -0.224368	 -0.034554	 -1.894698	 -108.558173
43520	 1	 -0.276009	 -0.155357	 -1.989444	 -113.986725
43520	 2	 -0.301549	 0.059097	 -1.908748	 -109.363186
43520	 3	 -0.365289	 -0.086958	 -1.976592	 -113.250383
43520	 4	 -0.404381	 0.026613	 -1.939631	 -111.132683
44160	 0	 -0.224368	 -0.034554	 -1.894698	 -108.558173
44160	 1	 -0.276009	 -0.155357	 -1.989444	 -113.986725
44160	 2	 -0.301549	 0.059097	 -1.908748	 -109.363186
44160	 3	 -0.365289	 -0.086958	 -1.976592	 -113.250383
44160	 4	 -0.404381	 0.026613	 -1.939631	 -111.132683
44800	 0	 -0.101085	 0.002993	 -1.778009	 -101.872394
44800	 1	 -0.171784	 -0.101056	 -2.010539	 -115.195402
44800	 2	 -0.193126	 0.081683	 -1.727419	 -98.973806
44800	 3	 -0.252776	 -0.041176	 -1.964353	 -112.549141
44800	 4	 -0.299415	 0.068554	 -1.934691	 -110.849640
45440	 0	 -0.101085	 0.002993	 -1.778009	 -101.872394
45440	 1	 -0.171784	 -0.101056	 -2.010539	 -115.195402
45440	 2	 -0.193126	 0.081683	 -1.727419	 -98.973806
45440	 3	 -0.252776	 -0.041176	 -1.964353	 -112.549141
45440	 4	 -0.299415	 0.068554	 -1.934691	 -110.849640
46080	 0	 -0.101085	 0.002993	 -1.778009	 -101.872394
46080	 1	 -0.171784	 -0.101056	 -2.010539	 -115.195402
46080	 2	 -0.193126	 0.081683	 -1.727419	 -98.973806
46080	 3	 -0.252776	 -0.041176	 -1.964353	 -112.549141
46080	 4	 -0.299415	 0.068554	 -1.934691	 -110.849640
46720	 0	 0.021866	 0.037033	 -1.801064	 -103.193373
46720	 1	 -0.067968	 -0.049837	 -2.049054	 -117.402141
46720	 2	 -0.076006	 0.107157	 -1.772369	 -101.549258
46720	 3	 -0.142811	 -0.000053	 -1.995561	 -114.337223
46720	 4	 -0.191547	 0.109871	 -1.887867	 -108.166817
47360	 0	 0.021866	 0.037033	 -1.801064	 -103.193373
47360	 1	 -0.067968	 -0.049837	 -2.049054	 -117.402141
47360	 2	 -0.076006	 0.107157	 -1.772369	 -101.549258
47360	 3	 -0.142811	 -0.000053	 -1.995561	 -114.337223
47360	 4	 -0.191547	 0.109871	 -1.887867	 -108.166817
48000	 0	 0.142370	 0.078123	 -1.965963	 -112.641383
48000	 1	 0.039375	 0.002476	 -1.937037	 -110.984058
48000	 2	 0.033274	 0.135975	 -1.870252	 -107.157540
48000	 3	 -0.046782	 0.034005	 -1.876728	 -107.528611
48000	 4	 -0.081284	 0.148066	 -1.946771	 -111.541784
48640	 0	 0.142370	 0.078123	 -1.965963	 -112.641383
48640	 1	 0.039375	 0.002476	 -1.937037	 -110.984058
48640	 2	 0.033274	 0.135975	 -1.870252	 -107.157540
48640	 3	 -0.046782	 0.034005	 -1.876728	 -107.528611
48640	 4	 -0.081284	 0.148066	 -1.946771	 -111.541784
49280	 0	 0.142370	 0.078123	 -1.965963	 -112.641383
49280	 1	 0.039375	 0.002476	 -1.937037	 -110.984058
49280	 2	 0.033274	 0.135975	 -1.870252	 -107.157540
49280	 3	 -0.046782	 0.034005	 -1.876728	 -107.528611
49280	 4	 -0.081284	 0.148066	 -1.946771	 -111.541784
49920	 0	 0.258691	 0.128700	 -1.998931	 -114.530306
49920	 1	 0.155150	 0.044853	 -1.932436	 -110.720426
49920	 2	 0.143494	 0.169293	 -1.854310	 -106.244159
49920	 3	 0.068632	 0.075436	 -1.956646	 -112.107549
49920	 4	 0.028647	 0.188309	 -1.909713	 -109.418510
